"McId","ICD9CM"
"PTS001","758"
"UTR030","183"
"RND001","183"
"BRD007","033"
"SDR001","360"
"ACT047","360"
"NNT058","775"
"IRN001","280"
"LYM017","088"
"SPN033","379"
"LKC002","360"
"BLN008","360"
"ABS022","360"
"RGL001","367"
"NCR006","385"
"SPL009","289"
"PHT005","371"
"CHR058","289"
"CHR057","476"
"PRT038","263"
"URN006","188"
"BLD026","188"
"URN007","188"
"ODN001","521"
"BLD027","188"
"URC001","188"
"VTR002","379"
"URT023","188"
"BLD029","188"
"HPT014","572"
"KHL001","732"
"MYP006","367"
"DGN002","360"
"CRT012","377"
"GLN007","187"
"TRN011","367"
"CLB002","754"
"IND004","030"
"MNC005","378"
"PRP012","363"
"ABN003","368"
"MCL004","370"
"FML030","174"
"GST037","536"
"LBM004","184"
"TNC001","110"
"VGN017","184"
"ESP024","530"
"NPH012","581"
"PST029","627"
"CNJ008","372"
"TRC025","162"
"ULC006","021"
"ATR009","608"
"OST014","756"
"HYP061","425"
"SPR017","608"
"FRN007","191"
"DRG004","292"
"SYM002","360"
"KRN003","773"
"PNV001","360"
"SRC006","321"
"PYL002","537"
"DLF001","537"
"DPC001","370"
"TRN008","716"
"NTR002","377"
"SDK001","026"
"BLL005","361"
"OPT009","377"
"INF009","720"
"PST015","515"
"PLM006","516"
"EPS002","379"
"NRT003","370"
"PCD001","307"
"DYS009","300"
"TYM001","385"
"DTR001","596"
"NRG002","596"
"LWC001","596"
"CRY005","117"
"PRP026","362"
"PSD005","362"
"RTN005","362"
"CBB001","362"
"CNN003","255"
"SCN004","362"
"ULN002","354"
"DYS008","246"
"CHG001","086"
"RDL001","354"
"GTR002","240"
"BLS004","362"
"TNC003","110"
"OTS001","387"
"DSC005","153"
"SPL003","153"
"SPR019","370"
"ALV002","122"
"SNL002","362"
"PNC012","370"
"SPC002","727"
"OLG003","658"
"PLC002","727"
"HST005","115"
"CMM004","279"
"MDL001","255"
"CHR018","614"
"ANS004","367"
"NTR004","288"
"CTN005","032"
"DNG003","061"
"MLG017","186"
"FMR001","451"
"ATY001","296"
"PRN009","295"
"INT014","155"
"CNJ004","372"
"ANT008","371"
"STR006","371"
"CGH001","493"
"VGT001","364"
"GRN055","371"
"CRM001","065"
"KYP001","416"
"CHR096","416"
"MRS001","261"
"CSC001","537"
"TRN006","302"
"PRM236","571"
"MLG025","608"
"MLN007","606"
"PRM009","360"
"MLG026","608"
"VRC001","456"
"PRS020","601"
"ALC006","571"
"PTL001","381"
"VRL004","386"
"END034","376"
"FTS001","302"
"LTR005","376"
"THY013","376"
"RTR004","158"
"INT026","376"
"PLS001","376"
"PRL004","618"
"GND002","302"
"CRN022","371"
"SPN046","335"
"BRN014","485"
"DYS015","009"
"SPS002","374"
"ENT005","374"
"KLP001","312"
"LKM002","208"
"PYR003","312"
"BLN004","007"
"TNP001","110"
"THY002","246"
"LXT001","360"
"CNJ001","378"
"INT025","301"
"LBM005","184"
"PNC001","284"
"SCN001","588"
"VLV032","184"
"PTH002","312"
"TBR003","016"
"VGS001","352"
"RTN003","362"
"BLL003","351"
"PLN002","355"
"PSN001","726"
"TRC012","127"
"BGS001","495"
"CMM002","355"
"LSN001","355"
"TRS001","355"
"BLD051","286"
"HYP010","724"
"TRC013","127"
"ATR004","384"
"SHG001","004"
"CPL001","127"
"VNW001","286"
"HML001","283"
"PHC001","365"
"ULC001","616"
"PHC002","365"
"CHR095","378"
"OLC001","726"
"NNT003","775"
"PRN004","618"
"DSP001","750"
"ACT073","208"
"HYP009","750"
"TTH001","521"
"VST006","388"
"ABN001","368"
"BNC002","368"
"BLS002","116"
"PSD001","335"
"VST001","386"
"PRC002","116"
"MXD002","315"
"DNR001","378"
"CPL005","448"
"BLC002","111"
"CHR017","098"
"LCK001","344"
"CRB008","437"
"HRN002","620"
"HRD008","448"
"HYP021","521"
"LCR005","190"
"CCT001","374"
"CHR410","190"
"MGR001","346"
"DBT004","357"
"MLT007","756"
"OCL011","378"
"HLL002","305"
"CRN007","371"
"CYC002","007"
"CHR002","375"
"SNL001","374"
"PRL015","618"
"ENT001","618"
"QDR001","344"
"HYP016","300"
"MCC003","527"
"PLS005","084"
"CRD246","429"
"SLL001","527"
"END021","425"
"PRL006","374"
"PLS006","084"
"INT035","202"
"ACT037","375"
"CND002","312"
"PHL004","375"
"INT057","202"
"VRT003","435"
"LBM003","116"
"HRD011","282"
"SHP001","077"
"TRN012","437"
"ALC010","425"
"BLN009","607"
"LGP001","374"
"SBC014","435"
"LSB001","087"
"TCK003","087"
"MCH005","374"
"CCT004","374"
"TRM002","365"
"DMN002","290"
"RNL011","588"
"ACQ008","701"
"TNN002","681"
"CRP004","620"
"JCC001","714"
"PRS030","747"
"BRN026","362"
"CNT028","362"
"PRV004","779"
"ACT061","461"
"MCH004","374"
"RLP003","087"
"CCT003","374"
"PRT025","281"
"GNC006","098"
"ACT079","580"
"SVR005","642"
"BNG028","405"
"BNG034","405"
"ESP018","112"
"PRP010","187"
"ACT068","595"
"DSS005","379"
"SPR014","187"
"HRD017","373"
"EXP003","376"
"ALL008","518"
"NDL006","600"
"END028","240"
"GT001","274"
"BCK003","362"
"BRN028","191"
"HLR003","362"
"SBM005","218"
"RGH001","426"
"RTN009","362"
"OCL007","021"
"TTH008","521"
"INT045","521"
"HVR001","026"
"DRR001","009"
"BRN120","162"
"KLB003","482"
"MYC087","483"
"DPH004","032"
"DPH005","032"
"INT046","014"
"CHR053","372"
"ANT015","365"
"DBT007","366"
"TXC008","377"
"CRT010","377"
"HYP049","529"
"TYP007","002"
"PRS026","372"
"LRY012","161"
"EGD001","302"
"PDP001","302"
"DFF011","370"
"SNL004","374"
"PRP029","277"
"RDN001","315"
"EHL001","756"
"TNM002","110"
"GST046","022"
"CLR019","368"
"PRF001","576"
"NRG001","564"
"SCR008","081"
"BSL004","433"
"GLN002","024"
"URT001","597"
"PST012","371"
"CRN002","371"
"ALX001","315"
"SCL015","379"
"HPT019","572"
"URT002","599"
"GNC002","098"
"CNT006","372"
"PRG012","372"
"SPR021","161"
"BLN002","607"
"GNC001","098"
"ACT014","386"
"ACT013","386"
"CHL012","299"
"JJN003","152"
"ACT015","386"
"VNS001","362"
"NNT001","771"
"URT004","597"
"LSS001","125"
"TRG001","595"
"PRL001","386"
"HYP069","252"
"TTN001","771"
"INT012","365"
"TBR001","759"
"SBS001","218"
"TBL002","726"
"OPT001","377"
"CRT003","366"
"MXL008","160"
"NNR001","252"
"CHL068","576"
"CCC001","114"
"KWS001","260"
"FRN009","160"
"FML002","628"
"DNT002","521"
"PHT002","370"
"ETH008","160"
"PLY002","357"
"STN002","375"
"ALV001","526"
"STN003","375"
"INF004","598"
"BLR001","751"
"OST001","756"
"GST003","251"
"EVR001","375"
"ULC002","569"
"ACQ003","375"
"PST008","379"
"CHR009","537"
"PRS007","602"
"ACT006","098"
"PRM003","302"
"AND001","520"
"DNT001","520"
"BRB001","265"
"MLG080","405"
"PNP001","360"
"UTR006","615"
"HPT081","573"
"NTM001","573"
"NNT002","771"
"EPP001","375"
"EXC003","375"
"PTH001","132"
"CLN003","121"
"CHN002","099"
